Cidade,PIB
Abatiá,161624
Adrianópolis,261322
Agudos do Sul,204732
Almirante Tamandaré,1542872
Altamira do Paraná,73353
Altônia,378302
Alto Paraná,329261
Alto Piquiri,305786
Alvorada do Sul,265482
Amaporã,158798
Ampére,606179
Anahy,85297
Andirá,747469
Ângulo,113969
Antonina,538253
Antônio Olinto,188206
Apucarana,3117904
Arapongas,4295341
Arapoti,1146514
Arapuã,106033
Araruna,453551
Araucária,16410202
Ariranha do Ivaí,88578
Assaí,396576
Assis Chateaubriand,1229023
Astorga,757989
Atalaia,136602
Balsa Nova,689422
Bandeirantes,783706
Barbosa Ferraz,210776
Barracão,246400
Barra do Jacaré,91817
Bela Vista da Caroba,71786
Bela Vista do Paraíso,454083
Bituruna,376109
Boa Esperança,202868
Boa Esperança do Iguaçu,93732
Boa Ventura de São Roque,233869
Boa Vista da Aparecida,140218
Bocaiúva do Sul,197774
Bom Jesus do Sul,72575
Bom Sucesso,114890
Bom Sucesso do Sul,205232
Borrazópolis,211847
Braganey,171638
Brasilândia do Sul,192410
Cafeara,67478
Cafelândia,1380437
Cafezal do Sul,103377
Califórnia,178038
Cambará,721868
Cambé,3838247
Cambira,171878
Campina da Lagoa,414074
Campina do Simão,94469
Campina Grande do Sul,1565892
Campo Bonito,165737
Campo do Tenente,203956
Campo Largo,4332640
Campo Magro,423012
Campo Mourão,3913205
Cândido de Abreu,317795
Candói,509103
Cantagalo,257856
Capanema,619518
Capitão Leônidas Marques,1166104
Carambeí,1305412
Carlópolis,342660
Cascavel,12243460
Castro,2819695
Catanduvas,273742
Centenário do Sul,228095
Cerro Azul,316610
Céu Azul,641046
Chopinzinho,659527
Cianorte,2658510
Cidade Gaúcha,414644
Clevelândia,465720
Colombo,5221999
Colorado,618404
Congonhinhas,205689
Conselheiro Mairinck,95139
Contenda,400383
Corbélia,609687
Cornélio Procópio,1546933
Coronel Domingos Soares,195888
Coronel Vivida,686252
Corumbataí do Sul,65978
Cruzeiro do Iguaçu,114154
Cruzeiro do Oeste,828973
Cruzeiro do Sul,185321
Cruz Machado,368294
Cruzmaltina,113185
Curitiba,87151950
Curiúva,232325
Diamante do Norte,349703
Diamante do Sul,53982
Diamante D'Oeste,99991
Dois Vizinhos,1587202
Douradina,592066
Doutor Camargo,154698
Enéas Marques,220809
Engenheiro Beltrão,563766
Esperança Nova,49445
Entre Rios do Oeste,228060
Espigão Alto do Iguaçu,114791
Farol,157731
Faxinal,425375
Fazenda Rio Grande,2518935
Fênix,149430
Fernandes Pinheiro,177612
Figueira,149613
Floraí,176371
Flor da Serra do Sul,124644
Floresta,207183
Florestópolis,248815
Flórida,60533
Formosa do Oeste,267752
Foz do Iguaçu,14675965
Francisco Alves,195960
Francisco Beltrão,3189357
Foz do Jordão,122666
General Carneiro,287252
Godoy Moreira,51960
Goioerê,902941
Goioxim,181111
Grandes Rios,121159
Guaíra,936642
Guairaçá,227188
Guamiranga,240889
Guapirama,102613
Guaporema,56057
Guaraci,106306
Guaraniaçu,353717
Guarapuava,6115804
Guaraqueçaba,111746
Guaratuba,797396
Honório Serpa,214379
Ibaiti,678620
Ibema,165626
Ibiporã,2441223
Icaraíma,232809
Iguaraçu,148271
Iguatu,61965
Imbaú,224884
Imbituva,895451
Inácio Martins,191268
Inajá,50177
Indianópolis,514797
Ipiranga,503925
Iporã,366771
Iracema do Oeste,82534
Irati,1827564
Iretama,257199
Itaguajé,97908
Itaipulândia,359658
Itambaracá,161117
Itambé,189662
Itapejara d'Oeste,615408
Itaperuçu,507861
Itaúna do Sul,75774
Ivaí,375675
Ivaiporã,820552
Ivaté,195702
Ivatuba,111780
Jaboti,108178
Jacarezinho,1358234
Jaguapitã,781435
Jaguariaíva,1480427
Jandaia do Sul,677906
Janiópolis,159099
Japira,101174
Japurá,251368
Jardim Alegre,252469
Jardim Olinda,42139
Jataizinho,190975
Jesuítas,344682
Joaquim Távora,587434
Jundiaí do Sul,74509
Juranda,339019
Jussara,224492
Kaloré,113238
Lapa,1642909
Laranjal,82466
Laranjeiras do Sul,773749
Leópolis,150368
Lidianópolis,84370
Lindoeste,163385
Loanda,574282
Lobato,184620
Londrina,19954157
Luiziana,327992
Lunardelli,88693
Lupionópolis,102417
Mallet,710316
Mamborê,544162
Mandaguaçu,557912
Mandaguari,1565369
Mandirituba,613110
Manfrinópolis,52597
Mangueirinha,1345996
Manoel Ribas,379316
Marechal Cândido Rondon,2343060
Maria Helena,108577
Marialva,1481672
Marilândia do Sul,333155
Marilena,136694
Mariluz,230262
Maringá,18532977
Mariópolis,281102
Maripá,352137
Marmeleiro,452936
Marquinho,85623
Marumbi,75920
Matelândia,915025
Matinhos,762291
Mato Rico,80887
Mauá da Serra,295062
Medianeira,1929419
Mercedes,216372
Mirador,102339
Miraselva,38807
Missal,347178
Moreira Sales,310218
Morretes,334226
Munhoz de Melo,95578
Nossa Senhora das Graças,70641
Nova Aliança do Ivaí,42150
Nova América da Colina,74069
Nova Aurora,625747
Nova Cantu,200413
Nova Esperança,727659
Nova Esperança do Sudoeste,107793
Nova Fátima,247540
Nova Laranjeiras,203509
Nova Londrina,317747
Nova Olímpia,82512
Nova Santa Bárbara,82998
Nova Santa Rosa,327131
Nova Prata do Iguaçu,327912
Nova Tebas,132124
Novo Itacolomi,66345
Ortigueira,2177001
Ourizona,106404
Ouro Verde do Oeste,176714
Paiçandu,836271
Palmas,1184094
Palmeira,1430968
Palmital,254156
Palotina,2198276
Paraíso do Norte,329588
Paranacity,320489
Paranaguá,9774163
Paranapoema,66495
Paranavaí,2647809
Pato Bragado,165121
Pato Branco,3836073
Paula Freitas,284422
Paulo Frontin,307431
Peabiru,327292
Perobal,182647
Pérola,338767
Pérola d'Oeste,166415
Piên,794597
Pinhais,5855892
Pinhalão,157345
Pinhal de São Bento,51639
Pinhão,1567474
Piraí do Sul,798543
Piraquara,1297203
Pitanga,893427
Pitangueiras,96933
Planaltina do Paraná,98096
Planalto,326186
Ponta Grossa,15054022
Pontal do Paraná,2425065
Porecatu,557892
Porto Amazonas,120370
Porto Barreiro,98733
Porto Rico,69893
Porto Vitória,64151
Prado Ferreira,131020
Pranchita,192437
Presidente Castelo Branco,137422
Primeiro de Maio,299974
Prudentópolis,1196730
Quarto Centenário,229918
Quatiguá,177967
Quatro Barras,1549589
Quatro Pontes,177135
Quedas do Iguaçu,1194777
Querência do Norte,237233
Quinta do Sol,173407
Quitandinha,391877
Ramilândia,82282
Rancho Alegre,120350
Rancho Alegre D'Oeste,140986
Realeza,602689
Rebouças,379547
Renascença,255577
Reserva,617069
Reserva do Iguaçu,157761
Ribeirão Claro,469038
Ribeirão do Pinhal,233408
Rio Azul,607860
Rio Bom,69879
Rio Bonito do Iguaçu,288711
Rio Branco do Ivaí,80035
Rio Branco do Sul,1117416
Rio Negro,1229392
Rolândia,2657284
Roncador,431642
Rondon,264835
Rosário do Ivaí,86143
Sabáudia,568901
Salgado Filho,90466
Salto do Itararé,88828
Salto do Lontra,371666
Santa Amélia,75184
Santa Cecília do Pavão,112308
Santa Cruz de Monte Castelo,262670
Santa Fé,270426
Santa Helena,934316
Santa Inês,41066
Santa Isabel do Ivaí,197044
Santa Izabel do Oeste,321718
Santa Lúcia,107916
Santa Maria do Oeste,177146
Santa Mariana,338498
Santa Mônica,89234
Santana do Itararé,96282
Santa Tereza do Oeste,373142
Santa Terezinha de Itaipu,523327
Santo Antônio da Platina,1210146
Santo Antônio do Caiuá,48932
Santo Antônio do Paraíso,87551
Santo Antônio do Sudoeste,506395
Santo Inácio,291983
São Carlos do Ivaí,307762
São Jerônimo da Serra,228198
São João,739336
São João do Caiuá,125609
São João do Ivaí,281556
São João do Triunfo,545179
São Jorge d'Oeste,282264
São Jorge do Ivaí,277807
São Jorge do Patrocínio,115679
São José da Boa Vista,144964
São José das Palmeiras,75355
São José dos Pinhais,24104946
São Manoel do Paraná,50419
São Mateus do Sul,1255921
São Miguel do Iguaçu,1003364
São Pedro do Iguaçu,166898
São Pedro do Ivaí,295575
São Pedro do Paraná,65736
São Sebastião da Amoreira,195836
São Tomé,138200
Sapopema,107701
Sarandi,1587727
Saudade do Iguaçu,793009
Sengés,457803
Serranópolis do Iguaçu,194470
Sertaneja,285818
Sertanópolis,687016
Siqueira Campos,541485
Sulina,93135
Tamarana,303880
Tamboara,125122
Tapejara,452094
Tapira,129044
Teixeira Soares,379637
Telêmaco Borba,3431594
Terra Boa,485866
Terra Rica,348960
Terra Roxa,677798
Tibagi,896623
Tijucas do Sul,324887
Toledo,6159259
Tomazina,199959
Três Barras do Paraná,318617
Tunas do Paraná,110172
Tuneiras do Oeste,201176
Tupãssi,342767
Turvo,442223
Ubiratã,946877
Umuarama,3390618
União da Vitória,1580773
Uniflor,64755
Uraí,283948
Wenceslau Braz,557122
Ventania,228977
Vera Cruz do Oeste,257001
Verê,293057
Alto Paraíso,96376
Doutor Ulysses,62325
Virmond,127653
Vitorino,360460